ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.001,0.001,0.001,0.001,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/bubble_sort.py:12(bubble_sort)
1,0.001,0.001,0.001,0.001,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/selection_sort.py:12(selection_sort)
200,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/tree_traverse.py:27(insert)
99,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/merge_sort.py:21(merge)
2,0.000,0.000,0.000,0.000,{built-in method io.open}
199/1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/merge_sort.py:44(merge_sort)
100,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/DataStructures/HashTable/HashTable.py:25(__hash)
2196,0.000,0.000,0.000,0.000,{built-in method builtins.len}
195/3,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/tree_traverse.py:84(traverse)
1,0.000,0.000,0.000,0.000,{method '__exit__' of '_io._IOBase' objects}
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/experiments.py:65(datastructures)
1097,0.000,0.000,0.000,0.000,{method 'append' of 'list' objects}
100,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/DataStructures/HashTable/HashTable.py:36(set_item)
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/experiments.py:81(<listcomp>)
100,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/DataStructures/StacksQueues/StacksAndQueues.py:81(enqueue)
200,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/tree_traverse.py:18(__init__)
100,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/DataStructures/Graphs/graphs.py:55(addEdge)
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/tree_traverse.py:67(BFS)
100,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/DataStructures/Graphs/graphs.py:72(removeVertex)
2,0.000,0.000,0.000,0.000,{built-in method psutil._psutil_osx.proc_kinfo_oneshot}
100,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/DataStructures/Graphs/graphs.py:49(addVertex)
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/experiments.py:77(<listcomp>)
2,0.000,0.000,0.000,0.000,{built-in method builtins.print}
1,0.000,0.000,0.000,0.000,/Users/zachwolpe/Desktop/µπ/EECS/empirical-speed-test/DSA/Algorithms/python/insertion_sort.py:15(insertion_sort)
394,0.000,0.000,0.000,0.000,{built-in method builtins.ord}


